# 40 diverse UMAP variants tuned for ~20k nodes, 350k edges, high-degree hubs.

algo	run_id	svd_dim	n_neighbors	min_dist	spread	metric	n_epochs	repulsion_strength	negative_sample_rate	random_state	svd_seconds	layout_seconds	mn_ratio	fp_ratio	n_iters	n_inliers	n_outliers	n_random	knn	t	decay	gamma	seed_candidates	best_seed	best_trustworthiness	n_unique_input	max_iter	gravity	scaling_ratio	iterations	k
forceatlas2	1									42		61.109															2000.0	0.1	2.0		
forceatlas2	2									42		60.768															2000.0	0.5	2.0		
forceatlas2	3									42		60.57															2000.0	1.0	2.0		
forceatlas2	3									42		75.562															2500.0	0.5	2.0		
forceatlas2	4									42		61.723															2000.0	0.5	1.0		
forceatlas2	5									42		59.4															2000.0	0.5	2.0		
forceatlas2	6									42		62.921															2000.0	0.5	5.0		
pacmap	0	384.0	10.0							42	0.083	0.871	0.5	2.0	450.0																
phate	1	384.0								42	0.083	4.286							30.0	50	60.0	0.5	42,52,62,72,82	72.0	0.5492103377084603	1125.0					
phate	2	384.0								42	0.083	27.536							60.0	65	80.0	0.5	42,52,62,72,82	62.0	0.5383391632703272	1125.0					
phate	3	384.0								42	0.083	27.733							100.0	100	100.0	0.5	42,52,62,72,82	42.0	0.6678415326850871	1125.0					
spring	1									42		6.079																		200.0	
spring	2									42		15.895																		500.0	
trimap	1	384.0								42	0.083	1.763			1600.0	10.0	5.0	5.0													
trimap	2	384.0								42	0.083	6.228			2400.0	20.0	10.0	10.0													
trimap	3	384.0								42	0.083	20.499			3200.0	30.0	15.0	10.0													
umap	1	384.0	15.0	0.01	0.3	cosine	5000.0	0.5	5.0	42	0.083	9.952																			
umap	2	384.0	20.0	0.005	0.5	cosine	5000.0	0.5	5.0	42	0.083	7.536																			
umap	3	384.0	25.0	0.01	0.5	cosine	5000.0	0.25	5.0	42	0.083	7.993																			
umap	4	384.0	30.0	0.01	0.7	cosine	5000.0	0.5	3.0	42	0.083	5.872																			
umap	5	384.0	10.0	0.002	0.3	cosine	5500.0	0.5	7.0	42	0.083	5.952																			
umap	6	384.0	5.0	0.0	1.0	cosine	6000.0	1.0	10.0	42	0.083	8.129																			
umap	7	384.0	8.0	0.001	0.8	cosine	5500.0	1.0	10.0	42	0.083	9.842																			
umap	8	384.0	10.0	0.001	0.7	cosine	5500.0	0.75	7.0	42	0.083	8.103																			
umap	9	384.0	12.0	0.002	0.5	cosine	5000.0	0.75	7.0	42	0.083	7.333																			
umap	10	384.0	15.0	0.002	0.5	cosine	5000.0	1.0	10.0	42	0.083	11.602																			
umap	11	384.0	40.0	0.01	1.0	cosine	4500.0	1.0	10.0	42	0.083	13.06																			
umap	12	384.0	50.0	0.02	1.0	cosine	4500.0	1.0	10.0	42	0.083	15.533																			
umap	13	384.0	35.0	0.02	0.8	cosine	5000.0	0.75	7.0	42	0.083	12.052																			
umap	14	384.0	45.0	0.005	0.7	cosine	5000.0	0.5	5.0	42	0.083	8.252																			
umap	15	384.0	30.0	0.05	1.0	cosine	5000.0	1.25	10.0	42	0.083	15.213																			
umap	16	384.0	20.0	0.01	1.5	cosine	5000.0	1.5	15.0	42	0.083	17.073																			
umap	17	384.0	25.0	0.02	1.5	cosine	5000.0	1.5	15.0	42	0.083	20.045																			
umap	18	384.0	15.0	0.005	2.0	cosine	5000.0	1.25	15.0	42	0.083	15.39																			
umap	19	384.0	20.0	0.01	1.0	cosine	5000.0	1.5	20.0	42	0.083	22.889																			
umap	20	384.0	20.0	0.005	1.2	cosine	5500.0	1.5	12.0	42	0.083	16.697																			
umap	21	384.0	20.0	0.1	1.0	cosine	5000.0	1.0	10.0	42	0.083	11.676																			
umap	22	384.0	25.0	0.05	0.8	cosine	5000.0	0.75	7.0	42	0.083	10.347																			
umap	23	384.0	15.0	0.05	0.5	cosine	5000.0	0.5	5.0	42	0.083	6.751																			
umap	24	384.0	30.0	0.1	0.7	cosine	4500.0	0.75	7.0	42	0.083	9.98																			
umap	25	384.0	20.0	0.02	0.6	cosine	5000.0	0.75	10.0	42	0.083	11.606																			
umap	26	384.0	20.0	0.01	0.5	cosine	5500.0	0.75	3.0	42	0.083	5.598																			
umap	27	384.0	15.0	0.005	0.4	cosine	5500.0	0.5	3.0	42	0.083	5.075																			
umap	28	384.0	25.0	0.01	0.6	cosine	5000.0	0.5	5.0	42	0.083	7.974																			
umap	29	384.0	18.0	0.002	0.4	cosine	5500.0	0.25	5.0	42	0.083	6.574																			
umap	30	384.0	22.0	0.01	0.7	cosine	5000.0	0.75	7.0	42	0.083	9.921																			
umap	31	384.0	20.0	0.01	1.0	cosine	5500.0	1.25	15.0	42	0.083	19.095																			
umap	32	384.0	15.0	0.005	1.2	cosine	5500.0	1.5	20.0	42	0.083	23.726																			
umap	33	384.0	25.0	0.01	1.2	cosine	5000.0	1.25	15.0	42	0.083	18.77																			
umap	34	384.0	20.0	0.002	0.9	cosine	6000.0	1.5	12.0	42	0.083	16.868																			
umap	35	384.0	18.0	0.005	1.0	cosine	5500.0	1.25	15.0	42	0.083	19.544																			
umap	36	384.0	20.0	0.01	0.8	cosine	3000.0	1.0	10.0	42	0.083	7.97																			
umap	37	384.0	20.0	0.01	0.8	cosine	6000.0	1.0	10.0	42	0.083	14.225																			
umap	38	384.0	15.0	0.005	0.5	cosine	6000.0	0.75	7.0	42	0.083	10.277																			
umap	39	384.0	20.0	0.01	0.8	euclidean	5000.0	1.0	10.0	42	0.083	14.242																			
umap	40	384.0	25.0	0.02	0.6	euclidean	5000.0	0.75	7.0	42	0.083	12.29																			
