source	target	sources	source_count_n
CRX	LNX1	['IntAct', 'HuRI']	2
CRX	TLE5	['IntAct', 'BioGRID', 'HuRI']	3
CRX	ATXN1	['IntAct', 'BioGRID', 'HuRI']	3
CRX	SPG21	['IntAct', 'HuRI']	2
CRX	CTNNA3	['IntAct', 'HuRI']	2
CRX	SDCBP	['IntAct', 'HuRI']	2
CRX	EP300	['BioGRID']	1
CRX	PRKAB2	['IntAct', 'BioGRID', 'HuRI']	3
CRX	NTF4	['IntAct', 'HuRI']	2
CRX	POGZ	['IntAct', 'BioGRID', 'HuRI']	3
CRX	SMAD3	['IntAct']	1
CRX	MDFI	['HuRI']	1
CRX	LGALS3	['IntAct', 'HuRI']	2
CRX	SORT1	['BioGRID']	1
CRX	HGS	['IntAct', 'BioGRID', 'HuRI']	3
EIF2S2	APP	['IntAct']	1
EIF2S2	TP53	['BioGRID']	1
EIF2S2	PRKN	['BioGRID']	1
EIF2S2	PMP22	['IntAct']	1
EIF2S2	ATXN1	['IntAct']	1
EIF2S2	HTT	['IntAct']	1
EIF2S2	JUN	['IntAct']	1
EIF2S2	MYC	['BioGRID']	1
EIF2S2	ESR1	['BioGRID']	1
EIF2S2	CSNK2A1	['IntAct', 'BioGRID']	2
EIF2S2	KAT5	['IntAct']	1
EIF2S2	CHRNA4	['IntAct']	1
EIF2S2	CSNK2B	['BioGRID']	1
EIF2S2	ACE2	['BioGRID']	1
EIF2S2	SORL1	['IntAct']	1
EIF2S2	PRKDC	['BioGRID']	1
EIF2S2	NGF	['IntAct']	1
MCOLN3	SNX14	['BioPlex_293T']	1
MCOLN3	ATP2A3	['BioPlex_293T']	1
MCOLN3	DHRS7	['BioPlex_293T']	1
MCOLN3	MFAP3	['BioPlex_293T']	1
MCOLN3	GABRB3	['BioPlex_293T']	1
GUCY1B1	ZDHHC12	['BioPlex_293T']	1
GUCY1B1	TLR9	['BioPlex_293T']	1
GUCY1B1	OR6T1	['BioPlex_293T']	1
GUCY1B1	HNRNPCL2	['BioPlex_293T']	1
GUCY1B1	HSP90AA1	['BioGRID']	1
GUCY1B1	NOS3	['BioGRID']	1
GUCY1B1	GRIN3B	['BioPlex_293T']	1
GUCY1B1	CHRNA7	['BioPlex_293T']	1
ZDHHC24	AQP6	['IntAct', 'HuRI']	2
ZDHHC24	TMEM14B	['IntAct', 'HuRI']	2
ZDHHC24	EBP	['IntAct', 'HuRI']	2
ZDHHC24	PLEKHF2	['IntAct', 'HuRI']	2
ZDHHC24	AGR2	['IntAct', 'HuRI']	2
ZDHHC24	REL	['IntAct', 'HuRI']	2
ZDHHC24	TCF4	['IntAct', 'HuRI']	2
ZDHHC24	KCNJ6	['IntAct', 'HuRI']	2
ZDHHC24	STOML3	['IntAct', 'HuRI']	2
USP7	BRCA1	['BioGRID']	1
USP7	CLTC	['BioGRID']	1
USP7	TP53	['IntAct', 'BioGRID']	2
USP7	TRAF2	['BioGRID']	1
USP7	CCNF	['BioGRID']	1
USP7	ATXN1	['BioGRID']	1
USP7	LMNA	['BioGRID']	1
USP7	STUB1	['BioGRID']	1
USP7	TRAF6	['BioGRID']	1
USP7	TBCB	['IntAct', 'BioGRID']	2
USP7	CTNNB1	['BioGRID']	1
USP7	NEDD4L	['BioGRID']	1
USP7	NOTCH1	['BioGRID']	1
USP7	NEUROG3	['BioGRID']	1
USP7	TRIM27	['IntAct', 'BioGRID']	2
USP7	SP1	['BioGRID']	1
USP7	MYC	['BioGRID']	1
USP7	MYD88	['BioGRID']	1
USP7	RELA	['BioGRID']	1
USP7	VIRMA	['BioGRID']	1
USP7	MDM2	['IntAct', 'BioGRID']	2
USP7	SMAD3	['IntAct', 'BioGRID']	2
USP7	COPS5	['BioGRID']	1
USP7	NCL	['BioGRID']	1
USP7	KDM1A	['BioGRID']	1
USP7	ESR1	['BioGRID']	1
USP7	SIRT1	['BioGRID']	1
USP7	CAV1	['BioGRID']	1
USP7	UBE2O	['BioGRID']	1
USP7	NUCB1	['BioGRID']	1
USP7	UBC	['BioGRID']	1
USP7	CUL4B	['BioGRID']	1
USP7	VCP	['BioGRID']	1
USP7	RAF1	['BioGRID']	1
USP7	BAG6	['BioGRID']	1
USP7	TRAF3	['BioGRID']	1
USP7	FBXO38	['BioGRID']	1
USP7	ANXA1	['BioGRID']	1
USP7	ABCB1	['BioGRID']	1
USP7	CSNK2A1	['BioGRID']	1
USP7	IKBKG	['BioGRID']	1
USP7	KAT5	['BioGRID']	1
USP7	YY1	['BioGRID']	1
USP7	CD274	['BioGRID']	1
USP7	CUL3	['BioGRID']	1
NBL1	APP	['IntAct']	1
NBL1	UBQLN2	['IntAct', 'HuRI']	2
NBL1	UBQLN1	['IntAct', 'BioGRID', 'HuRI']	3
NBL1	MEOX2	['HuRI']	1
NBL1	SPRED1	['IntAct']	1
NBL1	S100B	['IntAct']	1
NBL1	FGFR3	['IntAct']	1
NBL1	DMWD	['IntAct']	1
NBL1	CAMK2A	['IntAct']	1
NBL1	HPCAL1	['IntAct', 'HuRI']	2
NBL1	GRIN2C	['IntAct']	1
NBL1	NCS1	['IntAct', 'HuRI']	2
UBE2I	ACTB	['IntAct']	1
UBE2I	BRCA1	['BioGRID']	1
UBE2I	RUSF1	['IntAct']	1
UBE2I	UBQLN2	['IntAct']	1
UBE2I	TP53	['IntAct', 'BioGRID']	2
UBE2I	TRAF2	['IntAct']	1
UBE2I	HNRNPK	['IntAct']	1
UBE2I	ATXN1	['IntAct']	1
UBE2I	UBQLN1	['IntAct']	1
UBE2I	LMNA	['BioGRID']	1
UBE2I	HTT	['IntAct']	1
UBE2I	CFTR	['BioGRID']	1
UBE2I	SIAH1	['BioGRID']	1
UBE2I	EP300	['BioGRID']	1
UBE2I	JUN	['BioGRID']	1
UBE2I	UCHL1	['IntAct']	1
UBE2I	ESR1	['BioGRID']	1
UBE2I	NCOR1	['BioGRID']	1
UBE2I	LMO2	['IntAct']	1
UBE2I	TRIM21	['IntAct']	1
UBE2I	TRIM23	['IntAct']	1
UBE2I	AGR2	['IntAct']	1
UBE2I	FATE1	['IntAct']	1
UBE2I	PIAS2	['IntAct']	1
UBE2I	RABAC1	['IntAct']	1
UBE2I	TRAF3	['IntAct']	1
UBE2I	PUF60	['IntAct']	1
UBE2I	GFAP	['IntAct']	1
UBE2I	CYP4F2	['IntAct']	1
UBE2I	HGS	['IntAct']	1
UBE2I	STX1A	['IntAct']	1
UBE2I	FADD	['IntAct']	1
UBE2I	ZBTB16	['IntAct']	1
UBE2I	TRIM27	['BioGRID']	1
UBE2I	TNFRSF1A	['BioGRID']	1
UBE2I	RHOB	['BioGRID']	1
UBE2I	CDKN2A	['BioGRID']	1
UBE2I	ANXA1	['BioGRID']	1
UBE2I	CREBBP	['BioGRID']	1
UBE2I	YY1	['BioGRID']	1
UBE2I	NFKBIA	['BioGRID']	1
UBE2I	MDM2	['BioGRID']	1
UBE2I	HDAC4	['IntAct', 'BioGRID']	2
UBE2I	GOLGA2	['IntAct', 'BioGRID']	2
UBE2I	KAT5	['BioGRID']	1
UBE2I	USP36	['BioGRID']	1
UBE2I	FMR1	['BioGRID']	1
UBE2I	ATF2	['BioGRID']	1
UBE2I	PPARA	['BioGRID']	1
UBE2I	RAN	['BioPlex_293T', 'BioPlex_HCT116', 'BioGRID']	3
UBE2I	KCNIP3	['BioGRID']	1
UBE2I	PDLIM7	['HuRI']	1
UBE2I	TFCP2	['IntAct', 'BioGRID']	2
UBE2I	HSPB1	['BioGRID']	1
UBE2I	TRAF6	['BioGRID']	1
BTRC	WFS1	['IntAct']	1
BTRC	TP53	['BioGRID']	1
BTRC	HNRNPK	['BioGRID']	1
BTRC	SKP2	['BioGRID']	1
BTRC	GRN	['IntAct']	1
BTRC	RELA	['BioPlex_293T', 'BioGRID']	2
BTRC	NFKB1	['BioPlex_293T', 'BioGRID']	2
BTRC	KPRP	['BioGRID']	1
BTRC	NFKBIA	['IntAct', 'BioGRID']	2
BTRC	ENO1	['BioGRID']	1
BTRC	CTNNB1	['IntAct', 'BioGRID']	2
BTRC	RACK1	['BioGRID']	1
BTRC	YWHAZ	['BioGRID']	1
BTRC	TAFAZZIN	['BioGRID']	1
BTRC	SP1	['BioGRID']	1
BTRC	NFE2L2	['BioGRID']	1
BTRC	MYC	['BioGRID']	1
BTRC	FBXW11	['IntAct', 'BioPlex_293T', 'BioPlex_HCT116', 'BioGRID']	4
BTRC	RBX1	['BioPlex_293T', 'BioGRID']	2
BTRC	MDM2	['IntAct', 'BioGRID']	2
BTRC	TSPAN15	['BioGRID']	1
BTRC	REL	['BioGRID']	1
BTRC	HINT1	['BioGRID']	1
BTRC	IKBKB	['BioGRID']	1
BTRC	ELAVL1	['BioGRID']	1
BTRC	MAPK1	['BioGRID']	1
BTRC	PER1	['BioGRID']	1
BTRC	UBC	['BioGRID']	1
BTRC	PER2	['BioPlex_293T', 'BioGRID']	2
BTRC	NFKB2	['BioGRID']	1
BTRC	MAP2K1	['IntAct']	1
BTRC	DLG1	['BioGRID']	1
BTRC	VCP	['BioGRID']	1
BTRC	YAP1	['IntAct', 'BioPlex_293T', 'BioGRID']	3
BTRC	IL17RA	['BioPlex_293T']	1
BTRC	MBD3	['BioGRID']	1
BTRC	HRAS	['BioGRID']	1
BTRC	ATP5F1A	['BioGRID']	1
BTRC	PCDH10	['BioPlex_293T']	1
RPRM	OPRM1	['IntAct', 'HuRI']	2
RPRM	AQP6	['IntAct', 'HuRI']	2
RPRM	SDCBP	['IntAct', 'HuRI']	2
RPRM	TMEM237	['IntAct', 'HuRI']	2
RPRM	GAD2	['IntAct', 'HuRI']	2
RPRM	GPR42	['IntAct', 'HuRI']	2
RPRM	CREB3	['HuRI']	1
RPRM	BMPR1A	['BioPlex_293T']	1
RPRM	PLEKHF2	['IntAct', 'HuRI']	2
RPRM	OPRD1	['IntAct', 'HuRI']	2
RPRM	FATE1	['IntAct', 'HuRI']	2
RPRM	FAM209A	['IntAct', 'HuRI']	2
RPRM	EMP1	['IntAct', 'HuRI']	2
RPRM	CLEC2D	['IntAct', 'HuRI']	2
RPRM	STOM	['IntAct', 'HuRI']	2
RPRM	BSCL2	['IntAct', 'HuRI']	2
RPRM	WLS	['BioPlex_293T']	1
RPRM	ASGR2	['IntAct', 'HuRI']	2
RPRM	KCNJ6	['IntAct', 'HuRI']	2
TRPV5	YY1	['BioPlex_293T']	1
TRPV5	STAT3	['BioPlex_293T']	1
TRPV5	NUP35	['BioPlex_293T']	1
TRPV5	CALB1	['IntAct']	1
TRPV5	S100A10	['BioGRID']	1
RAB34	NOX1	['BioPlex_293T']	1
RAMP1	DNAJB9	['BioPlex_293T']	1
RAMP1	PEX5	['BioPlex_293T']	1
RAMP1	NKG7	['IntAct', 'HuRI']	2
RAMP1	MAL	['IntAct', 'HuRI']	2
RAMP1	ANKRD28	['BioPlex_293T']	1
RAMP1	HDAC6	['BioPlex_293T']	1
RAMP1	CALCA	['IntAct']	1
CAMK2A	APP	['IntAct']	1
CAMK2A	MAPT	['BioGRID']	1
CAMK2A	STUB1	['IntAct']	1
CAMK2A	BDNF	['IntAct']	1
CAMK2A	S100B	['IntAct']	1
CAMK2A	CDC37	['IntAct', 'BioGRID', 'HuRI']	3
CAMK2A	AKT1	['IntAct']	1
CAMK2A	NTAQ1	['IntAct', 'HuRI']	2
CAMK2A	GAPDH	['IntAct']	1
CAMK2A	GRIN2A	['BioGRID']	1
CAMK2A	NUFIP1	['BioPlex_293T']	1
CAMK2A	ATP1A3	['IntAct']	1
CAMK2A	DNAAF2	['BioPlex_293T']	1
CAMK2A	SHC1	['IntAct']	1
CAMK2A	PIK3R1	['IntAct']	1
CAMK2A	GPM6A	['BioPlex_293T']	1
CAMK2A	DLG1	['BioGRID']	1
CAMK2A	HSP90AB1	['IntAct']	1
CAMK2A	HSP90AA1	['IntAct', 'BioGRID']	2
CAMK2A	GRIA1	['BioGRID']	1
CAMK2A	PIP5K1A	['BioPlex_293T']	1
CAMK2A	HAX1	['BioPlex_293T']	1
CAMK2A	PRKCB	['IntAct']	1
CAMK2A	SMAD3	['IntAct']	1
CAMK2A	MAP7	['BioPlex_293T', 'BioPlex_HCT116']	2
CAMK2A	MAP3K7	['BioPlex_293T', 'BioPlex_HCT116']	2
CAMK2A	CDK5R1	['BioGRID']	1
CAMK2A	GRIN2B	['IntAct', 'BioGRID']	2
CAMK2A	ACTN1	['IntAct']	1
KRT5	TP53	['BioGRID']	1
KRT5	KRT40	['IntAct', 'HuRI']	2
KRT5	KRT31	['IntAct', 'HuRI']	2
KRT5	ALOX12	['IntAct', 'BioGRID']	2
KCNJ9	KCNJ6	['BioGRID']	1
KCNJ9	TMEM201	['IntAct', 'HuRI']	2
YAP1	HDAC1	['BioGRID']	1
YAP1	YWHAQ	['IntAct', 'BioPlex_293T', 'BioGRID']	3
YAP1	YWHAG	['IntAct', 'BioPlex_293T', 'BioGRID']	3
YAP1	NHERF2	['IntAct', 'BioPlex_293T', 'BioGRID']	3
YAP1	TRAF2	['BioPlex_293T', 'BioPlex_HCT116']	2
YAP1	PRKN	['BioGRID']	1
YAP1	HNRNPK	['BioGRID']	1
YAP1	SKP2	['BioGRID']	1
YAP1	STUB1	['BioGRID']	1
YAP1	HSPA1B	['BioGRID']	1
YAP1	BAG3	['BioGRID']	1
YAP1	TGM1	['BioPlex_293T']	1
YAP1	SDCBP	['BioGRID']	1
YAP1	NEDD4	['BioGRID']	1
YAP1	EP300	['BioGRID']	1
YAP1	VCP	['BioGRID']	1
YAP1	YWHAZ	['IntAct', 'BioPlex_293T', 'BioGRID']	3
YAP1	RBBP4	['BioGRID']	1
YAP1	HSPA5	['BioGRID']	1
YAP1	GAPDH	['BioGRID']	1
YAP1	YWHAH	['BioPlex_293T', 'BioGRID']	2
YAP1	CTNNB1	['IntAct', 'BioGRID']	2
YAP1	CERS2	['BioPlex_293T']	1
YAP1	ENO1	['BioGRID']	1
YAP1	HSP90AB1	['BioGRID']	1
YAP1	MSC	['BioGRID']	1
YAP1	RAN	['BioGRID']	1
YAP1	MAP2K1	['IntAct', 'BioGRID']	2
YAP1	PDLIM7	['BioGRID']	1
YAP1	NHERF1	['IntAct', 'BioPlex_293T', 'BioGRID']	3
YAP1	NEDD4L	['BioGRID']	1
YAP1	HSPA8	['BioPlex_HCT116', 'BioGRID']	2
YAP1	YWHAE	['IntAct', 'BioGRID']	2
YAP1	KPNA2	['BioGRID']	1
YAP1	YWHAB	['IntAct', 'BioPlex_293T', 'BioGRID']	3
YAP1	CSNK1E	['BioGRID']	1
YAP1	CSNK1D	['BioGRID']	1
YAP1	NCL	['BioGRID']	1
YAP1	TFCP2	['BioGRID']	1
YAP1	SPTAN1	['BioGRID']	1
YAP1	NF1	['BioGRID']	1
YAP1	HSPB1	['BioGRID']	1
YAP1	NPEPPS	['BioGRID']	1
YAP1	RUNX1	['BioGRID']	1
YAP1	PPP1CC	['BioGRID']	1
YAP1	PRKDC	['BioGRID']	1
YAP1	TRIP6	['BioGRID']	1
YAP1	FBXW11	['BioGRID']	1
YAP1	ACTN1	['BioGRID']	1
YAP1	ARRDC3	['BioGRID']	1
YAP1	SCRIB	['BioGRID']	1
YAP1	FBXW7	['BioGRID']	1
YAP1	COPB2	['BioGRID']	1
P2RX7	NOTCH2NLC	['IntAct']	1
P2RX7	HSF2BP	['IntAct', 'HuRI']	2
P2RX7	CYSRT1	['IntAct']	1
P2RX7	EFEMP2	['IntAct', 'HuRI']	2
P2RX7	PLEKHF2	['IntAct', 'HuRI']	2
P2RX7	NOTCH2NLA	['HuRI']	1
P2RX7	KRT31	['IntAct', 'HuRI']	2
P2RX7	TRIM27	['IntAct', 'HuRI']	2
P2RX7	KRTAP10-8	['IntAct', 'HuRI']	2
P2RX7	KRT34	['IntAct', 'HuRI']	2
NPLOC4	UBQLN2	['BioGRID']	1
NPLOC4	PRKN	['BioGRID']	1
NPLOC4	RAF1	['BioGRID']	1
NPLOC4	UBC	['IntAct', 'BioGRID']	2
NPLOC4	VCP	['IntAct', 'BioPlex_293T', 'BioGRID']	3
NPLOC4	SIDT2	['BioPlex_293T', 'BioPlex_HCT116']	2
NPLOC4	UBXN6	['BioGRID']	1
NPLOC4	TGFBR2	['IntAct']	1
NPLOC4	KCNA2	['BioPlex_293T']	1
NPLOC4	ATG9A	['BioPlex_293T', 'BioPlex_HCT116']	2
NPLOC4	OR6T1	['BioPlex_293T']	1
NPLOC4	CYP19A1	['BioPlex_HCT116']	1
NPLOC4	ADORA1	['BioPlex_HCT116']	1
NPLOC4	SLC32A1	['BioPlex_293T']	1
PDCD6IP	SRC	['IntAct', 'BioGRID']	2
PDCD6IP	TNIP2	['BioGRID']	1
PDCD6IP	PRKN	['BioGRID']	1
PDCD6IP	SDCBP	['BioGRID']	1
PDCD6IP	UBC	['BioGRID']	1
PDCD6IP	EGFR	['IntAct', 'BioGRID']	2
PDCD6IP	MYC	['BioGRID']	1
PDCD6IP	GRB2	['BioGRID']	1
PDCD6IP	SOD1	['BioGRID']	1
PDCD6IP	FYN	['IntAct']	1
PDCD6IP	ACE2	['BioGRID']	1
PDCD6IP	DRD3	['BioGRID']	1
PDCD6IP	LGALS3	['IntAct']	1
