id	x_spring	y_spring	z_spring	x_spectral	y_spectral	z_spectral	rwr_score_n	node_type_c	spectral_cluster_c	spectral_role_c	hub_score_n	bridge_score_spectral_n	peripheral_score_n	seed_score_spectral_n	eigenvector_centrality_spectral_n	hidef_primary_cluster_c	hidef_primary_size_n	hidef_primary_persistence_n	hidef_cluster_ids_a	hidef_cluster_sizes_a	hidef_top_persistence_n	hidef_n_communities_n	betweenness_centrality_n	eigenvector_centrality_n	clustering_coefficient_n	degree_n	degree_normalized_n	avg_shortest_path_n	fiedler_component_n	fiedler_partition_c	cocc_score_sum_normalized_n	cocc_perm_z_sum_normalized_n	cocc_perm_p_sum_normalized_n	cocc_pop_z_sum_normalized_n	cocc_pop_p_sum_normalized_n	cocc_significant_sum_normalized_c	cocc_score_raw_persistence_n	cocc_perm_z_raw_persistence_n	cocc_perm_p_raw_persistence_n	cocc_pop_z_raw_persistence_n	cocc_pop_p_raw_persistence_n	cocc_significant_raw_persistence_c	cocc_score_resolution_depth_n	cocc_perm_z_resolution_depth_n	cocc_perm_p_resolution_depth_n	cocc_pop_z_resolution_depth_n	cocc_pop_p_resolution_depth_n	cocc_significant_resolution_depth_c	cp_region_c	k_core_n	bridge_score_cp_n	in_seed_lcc_c	proteomics_enrichment_a	proteomics_significant_c	proteomics_best_term	proteomics_best_p_n	proteomics_n_sig_terms_n	neuropathic_pain_enrichment_a	neuropathic_pain_significant_c	neuropathic_pain_best_term	neuropathic_pain_best_p_n	neuropathic_pain_n_sig_terms_n	orphanet_enrichment_a	orphanet_significant_c	orphanet_best_term	orphanet_best_p_n	orphanet_n_sig_terms_n	omim_enrichment_a	omim_significant_c	omim_best_term	omim_best_p_n	omim_n_sig_terms_n	phenotypes_enrichment_a	phenotypes_significant_c	phenotypes_best_term	phenotypes_best_p_n	phenotypes_n_sig_terms_n	spatial_enrichment_a	spatial_significant_c	spatial_best_term	spatial_best_p_n	spatial_n_sig_terms_n	n_sig_analyses_n	any_sig_enrichment_c	is_drug_target_any_c	is_drug_target_disease_c	pain_phenotype_gene_c
A2M	-0.159256	0.059774	0.5	-0.995088	0.595662	0.5	0.0001659441	neighbor	1	Peripheral	0.1116221457	0.1307820444	0.789015658	0.052893621	0.0199535481	12	28	17	12,8,1,0	28,40,608,1126	104	4	0.0021640469	0.0028330842	0.0114221725	95	0.005571194	2.7933967113	0.0007876841	A	0.7697891738	-8.2752157149	0.9991507749	2.0787924479	0.078515625	no	0.5753607006	-9.1124249528	0.9991507749	1.709527977	0.078515625	no	0.0388063492	0.9632531434	0.0905985788	-0.9147373832	0.8138020833	no	core	13	0.2857142857	no	female	yes	female	1.01e-14	1	pain_upregulated	yes	pain_upregulated	4.8e-37	1	Alternating hemiplegia of childhood ORPHA:2131,Herpes simplex virus encephalitis ORPHA:1930,Congenital atransferrinemia ORPHA:1195,AApoAII amyloidosis ORPHA:238269	yes	Alternating hemiplegia of childhood ORPHA:2131	1.34e-11	4	Epilepsy,childhood absence,Frontotemporal dementia and/or amyotrophic lateral sclerosis,generalized	yes	generalized	0.0015	4	nociception,cancer pain,neuropathic pain	yes	nociception	7.9e-06	2	PENK+_nociceptors,Pruritogen_receptor_enriched,Putative_silent_nociceptors,Ad_HTMRs	yes	PENK+_nociceptors	5.09e-61	2	6	yes	no	no	yes
ABCB1	-0.269964	-0.135039	0.5	-0.995101	0.595261	0.5	0.0018887982	seed	0	Peripheral	0.044010171	0.0846685525	0.913664694	0.6020421864	0.0057591707	4	294	10	4,2,0	294,390,1126	104	3	2.7400375928012862e-05	0.0005530857	0.0196078431	18	0.0010555947	3.1016302109	0.0003837887	A	0.8236866097	-6.3280423839	0.9991507749	2.2945329615	0.078515625	no	0.5694318555	-9.2839133619	0.9991507749	1.679567258	0.078515625	no	0.0480063492	1.5394854042	0.0302117175	-0.8327208779	0.810546875	yes	intermediate	10	0.6	no	female	yes	female	1.01e-14	1	pain_upregulated	yes	pain_upregulated	4.8e-37	1	Alternating hemiplegia of childhood ORPHA:2131	yes	Alternating hemiplegia of childhood ORPHA:2131	1.34e-11	1	Epilepsy,childhood absence,Leukoencephalopathy with vanishing white matter	yes	childhood absence	0.000277	3	nociception	yes	nociception	7.9e-06	1	PENK+_nociceptors,Proprioceptors	yes	PENK+_nociceptors	5.09e-61	2	6	yes	yes	yes	yes
ABCB9	-0.00654	-0.230988	0.5	-0.995127	0.595053	0.5	8.001387495401356e-05	neighbor	0	Peripheral	0.0359594754	0.1129484844	0.9288019301	0.0255039039	0.0024638501	4	294	10	4,2,0	294,390,1126	104	3	4.52350076658515e-05	0.0001829474	0.0256410256	27	0.001583392	3.2516419888	0.0002956526	A	0.8236866097	-6.3280423839	0.9991507749	2.2945329615	0.078515625	no	0.5694318555	-9.2839133619	0.9991507749	1.679567258	0.078515625	no	0.0480063492	1.5394854042	0.0302117175	-0.8327208779	0.810546875	yes	intermediate	9	0.7	no	female	yes	female	1.01e-14	1	pain_upregulated	yes	pain_upregulated	4.8e-37	1	Alternating hemiplegia of childhood ORPHA:2131	yes	Alternating hemiplegia of childhood ORPHA:2131	1.34e-11	1	Epilepsy,childhood absence,Leukoencephalopathy with vanishing white matter	yes	childhood absence	0.000277	3	nociception	yes	nociception	7.9e-06	1	PENK+_nociceptors,Proprioceptors	yes	PENK+_nociceptors	5.09e-61	2	6	yes	no	no	yes
ABCC3	0.27973	-0.495059	0.5	-0.996053	0.596205	0.5	0.0018844773	seed	0	Peripheral	0.003197761	0.0383897396	0.9936069181	0.6006649358	8.33988080665903e-05	7	53	7	7,2,0	53,390,1126	104	3	0	8.066877523581886e-06	0	1	5.864414731409805e-05	3.9246423244	4.2269565814256144e-05	A	0.8609928775	-4.9802645435	0.9991507749	2.4438623914	0.0782552083	no	0.5581959496	-9.6089054281	0.9991507749	1.6227879337	0.078515625	no	0.0285650794	0.3218020484	0.256014601	-1.00603664	0.8294270833	no	periphery	1	1	no	female	yes	female	1.01e-14	1	pain_upregulated	yes	pain_upregulated	4.8e-37	1	Alternating hemiplegia of childhood ORPHA:2131,Glycogen storage disease due to liver glycogen phosphorylase deficiency ORPHA:369	yes	Alternating hemiplegia of childhood ORPHA:2131	1.34e-11	2	Epilepsy,childhood absence,Dystonia	yes	childhood absence	0.000277	3	nociception	yes	nociception	7.9e-06	1	PENK+_nociceptors,Proprioceptors	yes	PENK+_nociceptors	5.09e-61	2	6	yes	no	no	yes
ABCC4	-0.180536	-0.219044	0.5	-0.99481	0.595384	0.5	0.00190683	seed	0	Peripheral	0.0613805733	0.1188170732	0.8793729886	0.6077897085	0.0042906565	20	16	31	20,4,2,0	16,294,390,1126	104	4	8.799810752341436e-05	0.0003867021	0.036036036	37	0.0021698335	3.0792868137	-0.0001777486	B	0.8228425926	-6.358534513	0.9991507749	2.2911545321	0.078515625	no	0.5714679803	-9.225019632	0.9991507749	1.6898565743	0.078515625	no	0.0484825397	1.5693110906	0.0299280478	-0.8284757172	0.810546875	yes	core	13	0.1764705882	yes	female	yes	female	1.01e-14	1	pain_upregulated	yes	pain_upregulated	4.8e-37	1	Alternating hemiplegia of childhood ORPHA:2131,AGel amyloidosis ORPHA:85448	yes	Alternating hemiplegia of childhood ORPHA:2131	1.34e-11	2	Epilepsy,childhood absence,Leukoencephalopathy with vanishing white matter,Progressive familial heart block	yes	childhood absence	0.000277	4	nociception,cancer pain	yes	cancer pain	4.45e-07	2	PENK+_nociceptors,Proprioceptors,TRPA1+_nociceptors	yes	PENK+_nociceptors	5.09e-61	3	6	yes	no	no	yes
ABHD14A	-0.18198	-0.291052	0.5	-0.994936	0.594905	0.5	7.621665980478114e-05	neighbor	0	Peripheral	0.0484286813	0.098344968	0.9046226953	0.0242935662	0.0038912228	4	294	10	4,2,0	294,390,1126	104	3	5.2436445790416e-05	0.0005749312	0.0396135266	46	0.0026976308	3.0220501423	6.148445577650924e-06	A	0.8236866097	-6.3280423839	0.9991507749	2.2945329615	0.078515625	no	0.5694318555	-9.2839133619	0.9991507749	1.679567258	0.078515625	no	0.0480063492	1.5394854042	0.0302117175	-0.8327208779	0.810546875	yes	intermediate	11	0.6923076923	no	female	yes	female	1.01e-14	1	pain_upregulated	yes	pain_upregulated	4.8e-37	1	Alternating hemiplegia of childhood ORPHA:2131	yes	Alternating hemiplegia of childhood ORPHA:2131	1.34e-11	1	Epilepsy,childhood absence,Leukoencephalopathy with vanishing white matter	yes	childhood absence	0.000277	3	nociception	yes	nociception	7.9e-06	1	PENK+_nociceptors,Proprioceptors	yes	PENK+_nociceptors	5.09e-61	2	6	yes	no	no	yes
ACAD11	-0.138302	0.223588	0.5	-0.995167	0.595758	0.5	9.675457212273108e-05	neighbor	1	Peripheral	0.0418802973	0.1103505901	0.9179570774	0.0308398926	0.0073383935	1	608	22	1,0	608,1126	104	2	0.0003871048	0.0026755385	0.0090456807	67	0.0039291579	2.8304011822	0.0003889313	A	0.7872905983	-7.6429350419	0.9991507749	2.1488471035	0.078515625	no	0.570789272	-9.2446508753	0.9991507749	1.6864268022	0.078515625	no	0.0341206349	0.6697683895	0.1576570308	-0.9565097648	0.8161458333	no	periphery	7	0.75	no	female	yes	female	1.01e-14	1	pain_upregulated	yes	pain_upregulated	4.8e-37	1	Alternating hemiplegia of childhood ORPHA:2131,Herpes simplex virus encephalitis ORPHA:1930	yes	Alternating hemiplegia of childhood ORPHA:2131	1.34e-11	2	Epilepsy,childhood absence	yes	childhood absence	0.00498	2	nociception,cancer pain	yes	nociception	7.9e-06	2	PENK+_nociceptors,Pruritogen_receptor_enriched	yes	PENK+_nociceptors	5.09e-61	2	6	yes	no	no	yes
ACE	-0.46276	-0.254316	0.5	-0.994857	0.596023	0.5	0.0001938515	neighbor	0	Peripheral	0.0151973865	0.1481877256	0.9698285329	0.0617889022	0.002544075	0	1126	104	0	1126	104	1	1.1110095815728546e-05	0.0004009326	0.0666666667	6	0.0003518649	3.2638986111	-0.0002518613	B	1	0.0416990669	0.4237905233	3.0002797329	0.0380859375	yes	0.5123152709	-10.9359774742	0.9991507749	1.3909353383	0.12421875	no	0.0071428571	-1.0199561626	0.996569202	-1.1970122707	0.9220052083	no	periphery	3	0.6666666667	no	female	yes	female	1.01e-14	1	pain_upregulated	yes	pain_upregulated	4.8e-37	1	Alternating hemiplegia of childhood ORPHA:2131	yes	Alternating hemiplegia of childhood ORPHA:2131	1.34e-11	1	Epilepsy	yes	Epilepsy	0.0132	1	nociception	yes	nociception	7.9e-06	1	PENK+_nociceptors	yes	PENK+_nociceptors	5.09e-61	1	6	yes	yes	yes	yes
ACE2	-0.240375	0.107121	0.5	-0.99501	0.595854	0.5	0.000783537	neighbor	1	Peripheral	0.2548627269	0.2100680219	0.5547745957	0.2497473395	0.0565257311	3	353	6	3,1,0	353,608,1126	104	3	0.0033273455	0.0494710078	0.0771889401	280	0.0164203612	2.5723083019	0.000929497	A	0.7280769231	-9.782170189	0.9991507749	1.9118267613	0.078515625	no	0.5800372195	-8.9771593539	0.9991507749	1.7331602133	0.078515625	no	0.0899936508	4.1693155909	0.0017635693	-0.4584109058	0.6381510417	yes	core	17	0.1794871795	no	female,male	yes	male	5.03e-16	2	pain_upregulated	yes	pain_upregulated	4.8e-37	1	Alternating hemiplegia of childhood ORPHA:2131,Herpes simplex virus encephalitis ORPHA:1930	yes	Alternating hemiplegia of childhood ORPHA:2131	1.34e-11	2	Epilepsy,childhood absence,Frontotemporal dementia and/or amyotrophic lateral sclerosis	yes	Frontotemporal dementia and/or amyotrophic lateral sclerosis	0.000456	3	nociception,cancer pain	yes	nociception	7.9e-06	2	PENK+_nociceptors,Pruritogen_receptor_enriched	yes	PENK+_nociceptors	5.09e-61	2	6	yes	no	no	yes
ACHE	-0.560712	0.057852	0.5	-0.995279	0.59611	0.5	0.0018852623	seed	1	Peripheral	0.0156098758	0.0441367087	0.9690183743	0.6009151398	0.0027129156	3	353	6	3,1,0	353,608,1126	104	3	1.606728591767595e-07	0.0004456896	0	3	0.0001759324	3.4782431126	0.0002280392	A	0.7280769231	-9.782170189	0.9991507749	1.9118267613	0.078515625	no	0.5800372195	-8.9771593539	0.9991507749	1.7331602133	0.078515625	no	0.0899936508	4.1693155909	0.0017635693	-0.4584109058	0.6381510417	yes	periphery	3	0.6666666667	no	female,male	yes	male	5.03e-16	2	pain_upregulated	yes	pain_upregulated	4.8e-37	1	Alternating hemiplegia of childhood ORPHA:2131,Herpes simplex virus encephalitis ORPHA:1930	yes	Alternating hemiplegia of childhood ORPHA:2131	1.34e-11	2	Epilepsy,childhood absence,Frontotemporal dementia and/or amyotrophic lateral sclerosis	yes	Frontotemporal dementia and/or amyotrophic lateral sclerosis	0.000456	3	nociception,cancer pain	yes	nociception	7.9e-06	2	PENK+_nociceptors,Pruritogen_receptor_enriched	yes	PENK+_nociceptors	5.09e-61	2	6	yes	yes	yes	yes
